partyfacts_id,field,value,value_clean
516,position,[[Centre-left politics|Centre-left]] to [[Left-wing politics|left-wing]],[[Centre-left politics|Centre-left]] to [[Left-wing politics|left-wing]]
3211,ideology,[[Liberalism]],[[Liberalism]]
3211,position,[[Centrism|Centre]],[[Centrism|Centre]]
3118,ideology,[[Social liberalism]] <br>[[Social democracy]] <br/> [[Third Way]],[[Social liberalism]] <br>[[Social democracy]] <br/> [[Third Way]]
3118,position,"{{nowrap|[[Centrism|Centre]]|ref| name=""Kalyvas2015""|ref| name=""Trantidis2016""| to [[Centre-left politics|centre-left]]|ref| name=""Siani-Davies2017""|{{cite book|author=Peter Siani-Davies|title=Crisis in Greece|url=https://books.google.com/books?id=b2lNDwAAQBAJ&pg=PA230|year=2017|publisher=[[Oxford University Press]]|isbn=978-0-19-091121-8|page=230}}|</ref>}} to [[Centre-left politics|centre-left]]","{{nowrap|[[Centrism|Centre]]|ref| name=""Kalyvas2015""|ref| name=""Trantidis2016""| to [[Centre-left politics|centre-left]]|ref| name=""Siani-Davies2017""|{{cite book|author=Peter Siani-Davies|title=Crisis in Greece|url=https://books.google.com/books?id=b2lNDwAAQBAJ&pg=PA230|year=2017|publisher=[[Oxford University Press]]|isbn=978-0-19-091121-8|page=230}}|</ref>}} to [[Centre-left politics|centre-left]]"
8846,ideology,[[National Conservatism]]<br />Anti-[[Venizelism]]<br />[[Monarchism]]<br />[[Nationalism]] <br /> [[Conservatism]],[[National Conservatism]]<br />Anti-[[Venizelism]]<br />[[Monarchism]]<br />[[Nationalism]] <br /> [[Conservatism]]
8846,position,[[Right-wing]],[[Right-wing]]
5533,ideology,"{{nowrap|[[Liberal conservatism]]|ref| name=""Bergqvist1999""|<br />[[Conservative liberalism]]|ref| name=""Nordsieck""|{{cite web|url=http://parties-and-elections.eu/greenland.html|title=Greenland/Denmark|year=2018|access-date=27 September 2018|first=Wolfram|last=Nordsieck}}|</ref>|<br />[[Danish Realm|Greenlandic autonomism]]|ref| name=""Nordsieck""}} <br />[[Conservative liberalism]] <br />[[Danish Realm|Greenlandic autonomism]]","{{nowrap|[[Liberal conservatism]]|ref| name=""Bergqvist1999""|<br />[[Conservative liberalism]]|ref| name=""Nordsieck""|{{cite web|url=http://parties-and-elections.eu/greenland.html|title=Greenland/Denmark|year=2018|access-date=27 September 2018|first=Wolfram|last=Nordsieck}}|</ref>|<br />[[Danish Realm|Greenlandic autonomism]]|ref| name=""Nordsieck""}} <br />[[Conservative liberalism]] <br />[[Danish Realm|Greenlandic autonomism]]"
5533,position,[[Centre-right politics|Centre-right]],[[Centre-right politics|Centre-right]]
5534,ideology,[[The unity of the Realm|Greenlandic unionism]] <br />[[Social liberalism]],[[The unity of the Realm|Greenlandic unionism]] <br />[[Social liberalism]]
5534,position,"{{nowrap|[[Centrism|Centre]]|ref| name=""Handbook""|{{Cite book |editor-first=Tom |editor-last=Lansford |title=Political Handbook of the World 2014 |publisher=CQ Press |year=2014 |page=393}}|</ref>| to [[centre-right]]|ref|{{Cite book |first=Natalia |last=Loukacheva |title=The Arctic Promise: Legal and Political Autonomy of Greenland and Nunavut |publisher=University of Toronto Press |year=2007 |page=55}}|</ref>|ref|{{cite web|url=https://www.independent.co.uk/news/greenland-election-shows-divide-over-rareearth-metals-mine-greenland-arctic-helsinki-democrats-china-b1827204.html|title=Greenland election shows divide over rare-earth metals mine|date=6 April 2021|publisher=[[The Independent]]}}|</ref>}} to [[centre-right]]","{{nowrap|[[Centrism|Centre]]|ref| name=""Handbook""|{{Cite book |editor-first=Tom |editor-last=Lansford |title=Political Handbook of the World 2014 |publisher=CQ Press |year=2014 |page=393}}|</ref>| to [[centre-right]]|ref|{{Cite book |first=Natalia |last=Loukacheva |title=The Arctic Promise: Legal and Political Autonomy of Greenland and Nunavut |publisher=University of Toronto Press |year=2007 |page=55}}|</ref>|ref|{{cite web|url=https://www.independent.co.uk/news/greenland-election-shows-divide-over-rareearth-metals-mine-greenland-arctic-helsinki-democrats-china-b1827204.html|title=Greenland election shows divide over rare-earth metals mine|date=6 April 2021|publisher=[[The Independent]]}}|</ref>}} to [[centre-right]]"
5531,ideology,[[Greenlandic&nbsp;independence]] <br />[[Democratic socialism]] <br />[[Environmentalism]],[[Greenlandic&nbsp;independence]] <br />[[Democratic socialism]] <br />[[Environmentalism]]
5531,position,[[Left-wing politics|Left-wing]],[[Left-wing politics|Left-wing]]
6956,ideology,[[Conservatism]],[[Conservatism]]
6956,position,[[Centre-right politics|Centre-right]],[[Centre-right politics|Centre-right]]
8243,ideology,"{{Nowrap|[[Greenlandic independence]]|ref| name=""Nordsieck""|{{cite web|url=http://parties-and-elections.eu/greenland.html|title=Greenland/Denmark|year=2018|access-date=27 September 2018|first=Wolfram|last=Nordsieck}}|</ref>|<br>[[Decentralization#Government decentralization|Decentralization]]|ref| name=""auto""|{{cite news|title=Nunatta Qitornai: Vi arbejder på at etablere 17 kommuner|url=http://sermitsiaq.ag/nunatta-qitornaiarbejder-etablere-17-kommuner|language=da|date=29 March 2018|access-date=31 March 2018|work=sermitsiaq.ag}}|</ref>|ref|{{cite news|last1=Elkjær|first1=Kenneth|title=Nunatta Qitornai vil have delt landet op i 17 kommuner|url=https://knr.gl/da/nyheder/nunatta-qitornai-vil-have-delt-landet-op-i-17-kommuner|language=da|date=29 March 2018|access-date=31 March 2018|work=knr.gl}}|</ref>|<br>[[Social democracy]]<br>[[Populism]]}} <br>[[Decentralization#Government decentralization|Decentralization]] <br>[[Social democracy]]<br>[[Populism]]","{{Nowrap|[[Greenlandic independence]]|ref| name=""Nordsieck""|{{cite web|url=http://parties-and-elections.eu/greenland.html|title=Greenland/Denmark|year=2018|access-date=27 September 2018|first=Wolfram|last=Nordsieck}}|</ref>|<br>[[Decentralization#Government decentralization|Decentralization]]|ref| name=""auto""|{{cite news|title=Nunatta Qitornai: Vi arbejder på at etablere 17 kommuner|url=http://sermitsiaq.ag/nunatta-qitornaiarbejder-etablere-17-kommuner|language=da|date=29 March 2018|access-date=31 March 2018|work=sermitsiaq.ag}}|</ref>|ref|{{cite news|last1=Elkjær|first1=Kenneth|title=Nunatta Qitornai vil have delt landet op i 17 kommuner|url=https://knr.gl/da/nyheder/nunatta-qitornai-vil-have-delt-landet-op-i-17-kommuner|language=da|date=29 March 2018|access-date=31 March 2018|work=knr.gl}}|</ref>|<br>[[Social democracy]]<br>[[Populism]]}} <br>[[Decentralization#Government decentralization|Decentralization]] <br>[[Social democracy]]<br>[[Populism]]"
8243,position,[[Centre-left]],[[Centre-left]]
5532,ideology,[[Greenlandic Inuit|Greenlandic]] [[nationalism]]<br />[[Separatism]]<br />[[Eco-socialism]],[[Greenlandic Inuit|Greenlandic]] [[nationalism]]<br />[[Separatism]]<br />[[Eco-socialism]]
5532,position,[[Left-wing]],[[Left-wing]]
5536,position,[[Centrism|Centre]],[[Centrism|Centre]]
5536,ideology,{{Nowrap|[[Populism]]|ref|[https://www.thelocal.dk/20141126/greenland-independence-on-back-burner-in-snap-election Greenland independence on hold in snap election]|</ref>|<br/>[[Greenlandic independence]]|ref|{{Cite web|last=DeGeorge|first=Krestia|date=2021-04-09|title=Greenland’s new leadership will be challenged by a push for faster independence|url=https://www.arctictoday.com/greenlands-new-leadership-will-be-challenged-by-a-push-for-faster-independence/|access-date=2021-05-26|website=ArcticToday|language=en-US}}|</ref>}} <br/>[[Greenlandic independence]],{{Nowrap|[[Populism]]|ref|[https://www.thelocal.dk/20141126/greenland-independence-on-back-burner-in-snap-election Greenland independence on hold in snap election]|</ref>|<br/>[[Greenlandic independence]]|ref|{{Cite web|last=DeGeorge|first=Krestia|date=2021-04-09|title=Greenland’s new leadership will be challenged by a push for faster independence|url=https://www.arctictoday.com/greenlands-new-leadership-will-be-challenged-by-a-push-for-faster-independence/|access-date=2021-05-26|website=ArcticToday|language=en-US}}|</ref>}} <br/>[[Greenlandic independence]]
5535,position,[[Centre-left]],[[Centre-left]]
5535,ideology,"{{nowrap|[[Social democracy]]|ref| name=""Nordsieck""|{{cite web|url=http://parties-and-elections.eu/greenland.html|title=Greenland/Denmark|year=2018|access-date=27 September 2018|first=Wolfram|last=Nordsieck}}|</ref>|ref|{{cite web|url=https://thewest.com.au/politics/election/anti-mine-party-wins-greenland-election-c-2536117|title=Anti-mine party wins Greenland election|date=7 April 2021|publisher=[[The West Australian]]}}|</ref>|<br />[[Greenlandic independence]]|ref|{{cite news|title=Siumut wants independence for Greenland|url=http://www.dr.dk/Nyheder/Andre_sprog/English/2013/02/21/133601.htm|access-date=24 April 2016|work=[[DR (broadcaster)|DR]]|date=21 February 2013|archive-url=https://web.archive.org/web/20160424101844/http://www.dr.dk/Nyheder/Andre_sprog/English/2013/02/21/133601.htm|archive-date=24 April 2016}}|</ref>}} <br />[[Greenlandic independence]]","{{nowrap|[[Social democracy]]|ref| name=""Nordsieck""|{{cite web|url=http://parties-and-elections.eu/greenland.html|title=Greenland/Denmark|year=2018|access-date=27 September 2018|first=Wolfram|last=Nordsieck}}|</ref>|ref|{{cite web|url=https://thewest.com.au/politics/election/anti-mine-party-wins-greenland-election-c-2536117|title=Anti-mine party wins Greenland election|date=7 April 2021|publisher=[[The West Australian]]}}|</ref>|<br />[[Greenlandic independence]]|ref|{{cite news|title=Siumut wants independence for Greenland|url=http://www.dr.dk/Nyheder/Andre_sprog/English/2013/02/21/133601.htm|access-date=24 April 2016|work=[[DR (broadcaster)|DR]]|date=21 February 2013|archive-url=https://web.archive.org/web/20160424101844/http://www.dr.dk/Nyheder/Andre_sprog/English/2013/02/21/133601.htm|archive-date=24 April 2016}}|</ref>}} <br />[[Greenlandic independence]]"
6957,ideology,[[Social democracy]]<br />[[Democratic socialism]],[[Social democracy]]<br />[[Democratic socialism]]
6957,position,[[Centre-left politics|Centre-left]],[[Centre-left politics|Centre-left]]
4431,ideology,"{{Nowrap|[[Populism]]|ref|''Country Review: Grenada''. 2016. Houston, Texas: CountryWatch Publications, 2016. ''Country Review: Grenada''.  p. 10. Online. Available URL: http://www.countrywatch.com/content/pdfs/reviews/B398L948.01c.pdf. October 12, 2003.|</ref>|<br />[[Nationalism]]|ref| name=""ox""|<br />[[Republicanism]]<br />[[Conservatism]]|ref|{{cite web |last1=Mitchell |first1=Jared |title=Bishop’s last stand |url=https://archive.macleans.ca/article/1983/10/31/bishops-last-stand |website=Maclean's |access-date=19 November 2021 |date=31 October 1983}}|</ref>|ref|{{cite web |last1=Hughes |first1=Alister |title=Government Official Claims Destabilization Attempt |url=https://apnews.com/article/1673260c4d0c1287cbf0fdae67faedfe |website=Associated Press |access-date=19 November 2021 |date=26 October 1985}}|</ref>|<br />[[Labourism]]|ref| name=""ox""|{{Citation|title=Gairy, Eric|date=2005-04-07|url=https://oxfordaasc.com/view/10.1093/acref/9780195301731.001.0001/acref-9780195301731-e-41385|work=African American Studies Center|publisher=Oxford University Press|language=en|doi=10.1093/acref/9780195301731.013.41385|isbn=978-0-19-530173-1|access-date=2021-11-19}}|</ref>}} <br />[[Nationalism]] <br />[[Republicanism]]<br />[[Conservatism]] <br />[[Labourism]]","{{Nowrap|[[Populism]]|ref|''Country Review: Grenada''. 2016. Houston, Texas: CountryWatch Publications, 2016. ''Country Review: Grenada''.  p. 10. Online. Available URL: http://www.countrywatch.com/content/pdfs/reviews/B398L948.01c.pdf. October 12, 2003.|</ref>|<br />[[Nationalism]]|ref| name=""ox""|<br />[[Republicanism]]<br />[[Conservatism]]|ref|{{cite web |last1=Mitchell |first1=Jared |title=Bishop’s last stand |url=https://archive.macleans.ca/article/1983/10/31/bishops-last-stand |website=Maclean's |access-date=19 November 2021 |date=31 October 1983}}|</ref>|ref|{{cite web |last1=Hughes |first1=Alister |title=Government Official Claims Destabilization Attempt |url=https://apnews.com/article/1673260c4d0c1287cbf0fdae67faedfe |website=Associated Press |access-date=19 November 2021 |date=26 October 1985}}|</ref>|<br />[[Labourism]]|ref| name=""ox""|{{Citation|title=Gairy, Eric|date=2005-04-07|url=https://oxfordaasc.com/view/10.1093/acref/9780195301731.001.0001/acref-9780195301731-e-41385|work=African American Studies Center|publisher=Oxford University Press|language=en|doi=10.1093/acref/9780195301731.013.41385|isbn=978-0-19-530173-1|access-date=2021-11-19}}|</ref>}} <br />[[Nationalism]] <br />[[Republicanism]]<br />[[Conservatism]] <br />[[Labourism]]"
4431,position,[[Right-wing]],[[Right-wing]]
4240,ideology,[[Social democracy]]<br>[[Social liberalism]]<br>[[Third Way]]<br>[[Progressivism]]<br>[[Participatory democracy]]<br>[[Anti-communism]],[[Social democracy]]<br>[[Social liberalism]]<br>[[Third Way]]<br>[[Progressivism]]<br>[[Participatory democracy]]<br>[[Anti-communism]]
4240,position,[[Centre-left politics|Centre-left]],[[Centre-left politics|Centre-left]]
8384,ideology,"{{ubl|class|=|nowrap
 | [[Communism]]
 | [[Marxism–Leninism]]
 | [[Revolutionary socialism]]}}","{{ubl|class|=|nowrap
 | [[Communism]]
 | [[Marxism–Leninism]]
 | [[Revolutionary socialism]]}}"
8384,position,[[Far-left]],[[Far-left]]
3859,ideology,[[Conservatism]] <br/>[[Economic liberalism]]<br/>[[Anti-communism]],[[Conservatism]] <br/>[[Economic liberalism]]<br/>[[Anti-communism]]
3859,position,[[Centre-right]],[[Centre-right]]
8061,ideology,[[Liberalism]]<br>[[Populism]],[[Liberalism]]<br>[[Populism]]
8061,position,[[Centrism|Centre]] to [[centre-left]],[[Centrism|Centre]] to [[centre-left]]
1322,ideology,[[Christian democracy]],[[Christian democracy]]
1322,position,[[Center-left]],[[Center-left]]
1413,ideology,[[Political parties of minorities|Ethnic interests]] of the [[Indigenous peoples of the Americas|Indigenous]]<br />[[Social democracy]],[[Political parties of minorities|Ethnic interests]] of the [[Indigenous peoples of the Americas|Indigenous]]<br />[[Social democracy]]
1413,position,[[Centre-left politics|Centre-left]],[[Centre-left politics|Centre-left]]
5955,ideology,[[Nationalism]] <br/>[[Conservatism]],[[Nationalism]] <br/>[[Conservatism]]
5955,position,[[Right-wing politics|Right-wing]],[[Right-wing politics|Right-wing]]
941,ideology,[[Conservatism]] <br />[[Right-wing populism]] <br />[[Anti-communism]]<br />[[Christian right]],[[Conservatism]] <br />[[Right-wing populism]] <br />[[Anti-communism]]<br />[[Christian right]]
941,position,[[Right-wing]] to [[Far-right politics|far-right]],[[Right-wing]] to [[Far-right politics|far-right]]
5957,ideology,[[Nationalism]],[[Nationalism]]
5957,position,[[Centrism|Centre]],[[Centrism|Centre]]
538,ideology,[[Conservatism]],[[Conservatism]]
538,position,[[Centre-right]] to [[right-wing]],[[Centre-right]] to [[right-wing]]
4337,ideology,[[Conservatism]]<br/>[[Populism]],[[Conservatism]]<br/>[[Populism]]
4337,position,[[Centre-right politics|Centre-right]],[[Centre-right politics|Centre-right]]
4334,ideology,[[Agrarianism]]<br />[[Conservatism]]<br />[[Economic liberalism]]<br />[[Right-wing populism]],[[Agrarianism]]<br />[[Conservatism]]<br />[[Economic liberalism]]<br />[[Right-wing populism]]
4334,position,[[Far-right politics|Far-right]],[[Far-right politics|Far-right]]
7911,ideology,[[Social democracy]] <br />[[Social liberalism]] <br />[[Participatory democracy]]<br />[[Anti-corruption]]<br />[[Environmentalism]],[[Social democracy]] <br />[[Social liberalism]] <br />[[Participatory democracy]]<br />[[Anti-corruption]]<br />[[Environmentalism]]
7911,position,[[Centre-left politics|Centre-left]] <br/>[[Big tent]],[[Centre-left politics|Centre-left]] <br/>[[Big tent]]
4782,ideology,[[Social democracy]]<br />[[Democratic socialism]]<br/>[[Agrarianism]]<br />[[Populism]]<br/>[[Labourism]],[[Social democracy]]<br />[[Democratic socialism]]<br/>[[Agrarianism]]<br />[[Populism]]<br/>[[Labourism]]
4782,position,[[Centre-left]] to [[left-wing]],[[Centre-left]] to [[left-wing]]
8316,ideology,"{{plainlist|
*[[Conservatism]]
*[[Protectionism]]|ref| name=SJ17|Susanne Jonas (1991) ''The Battle for Guatemala: Rebels, Death Squads, and U.S. Power'', Westview Press, p17|</ref>|
*[[Clericalism]]|ref| name=SJ17|
*[[Authoritarianism]]|ref| name=SJ17|}} *[[Clericalism]] *[[Authoritarianism]]","{{plainlist|
*[[Conservatism]]
*[[Protectionism]]|ref| name=SJ17|Susanne Jonas (1991) ''The Battle for Guatemala: Rebels, Death Squads, and U.S. Power'', Westview Press, p17|</ref>|
*[[Clericalism]]|ref| name=SJ17|
*[[Authoritarianism]]|ref| name=SJ17|}} *[[Clericalism]] *[[Authoritarianism]]"
8316,position,[[Center-right]] to [[right-wing]],[[Center-right]] to [[right-wing]]
1035,ideology,[[Conservatism]],[[Conservatism]]
1035,position,[[Right-wing politics|Right wing]],[[Right-wing politics|Right wing]]
4734,ideology,[[Communism]]<br />[[Marxism–Leninism]],[[Communism]]<br />[[Marxism–Leninism]]
8063,ideology,[[Humanism]],[[Humanism]]
8063,position,[[Centrism|Centre]],[[Centrism|Centre]]
4437,ideology,[[Civic nationalism]]<br>[[Conservatism]]<br>[[Neoliberalism]],[[Civic nationalism]]<br>[[Conservatism]]<br>[[Neoliberalism]]
4437,position,[[Centre-right]],[[Centre-right]]
5242,ideology,"{{plainlist|
*[[Liberalism]]
*''[[Laissez-faire]]''|ref| name=SJ17|Susanne Jonas (1991) ''The Battle for Guatemala: Rebels, Death Squads, and U.S. Power'', Westview Press, p17|</ref>|ref| name=JH38|Handy, p38|</ref>|
*[[Anti-clericalism]]|ref| name=SJ17|ref| name=JH38|
*[[Authoritarianism]]|ref| name=H61|Handy, p61|</ref>|
*[[Positivism]]|ref| name=H61|}} *[[Anti-clericalism]] *[[Authoritarianism]] *[[Positivism]]","{{plainlist|
*[[Liberalism]]
*''[[Laissez-faire]]''|ref| name=SJ17|Susanne Jonas (1991) ''The Battle for Guatemala: Rebels, Death Squads, and U.S. Power'', Westview Press, p17|</ref>|ref| name=JH38|Handy, p38|</ref>|
*[[Anti-clericalism]]|ref| name=SJ17|ref| name=JH38|
*[[Authoritarianism]]|ref| name=H61|Handy, p61|</ref>|
*[[Positivism]]|ref| name=H61|}} *[[Anti-clericalism]] *[[Authoritarianism]] *[[Positivism]]"
5242,position,[[Right-wing]],[[Right-wing]]
524,ideology,[[Conservative liberalism]],[[Conservative liberalism]]
524,position,[[Centre-right]],[[Centre-right]]
5967,ideology,[[Conservatism]] <br />[[Right-wing populism]] <br />[[Anti-communism]]<br />[[Christian right]],[[Conservatism]] <br />[[Right-wing populism]] <br />[[Anti-communism]]<br />[[Christian right]]
5967,position,[[Right-wing]] to [[Far-right politics|far-right]],[[Right-wing]] to [[Far-right politics|far-right]]
4425,ideology,[[Centrism]]<br>[[Liberal conservatism]]<br>[[Social democracy]] (formerly),[[Centrism]]<br>[[Liberal conservatism]]<br>[[Social democracy]] (formerly)
4425,position,[[Centre-left politics|Centre-left]] {{small|(1957–1970s)}} <br />[[Centre-right politics|Centre-right]] {{small|(1970s–1990)}},[[Centre-left politics|Centre-left]] {{small|(1957–1970s)}} <br />[[Centre-right politics|Centre-right]] {{small|(1970s–1990)}}
71,ideology,[[Nationalism]]<br />[[Social conservatism]] <br />[[Economic liberalism]] <br />[[Christian right]],[[Nationalism]]<br />[[Social conservatism]] <br />[[Economic liberalism]] <br />[[Christian right]]
71,position,[[Centre-right]] to [[Right-wing politics|right-wing]],[[Centre-right]] to [[Right-wing politics|right-wing]]
5966,position,[[Centrism|Centre]],[[Centrism|Centre]]
1668,ideology,[[Social democracy]]<br>[[Christian left]] <br>[[Populism]],[[Social democracy]]<br>[[Christian left]] <br>[[Populism]]
1668,position,{{Nowrap|[[Centre-left politics|Centre-left]]|ref| name=upppavg|{{cite web|url=http://archive.transparency.org/publications/newsletter/2008/january_2008/interview|title=publications/newsletter/2008/January 2008/interview|author=Transparency International e.V.|url-status=dead|archive-url=https://web.archive.org/web/20160325125627/http://archive.transparency.org/publications/newsletter/2008/january_2008/interview|archive-date=2016-03-25}}|</ref>}},{{Nowrap|[[Centre-left politics|Centre-left]]|ref| name=upppavg|{{cite web|url=http://archive.transparency.org/publications/newsletter/2008/january_2008/interview|title=publications/newsletter/2008/January 2008/interview|author=Transparency International e.V.|url-status=dead|archive-url=https://web.archive.org/web/20160325125627/http://archive.transparency.org/publications/newsletter/2008/january_2008/interview|archive-date=2016-03-25}}|</ref>}}
5971,ideology,"{{ubl|class|=|nowrap
 | [[Democratic socialism]]|ref| name=""urng1""|{{cite web|url=http://www.albedrio.org/htm/otrosdocs/comunicados/urng-maiz-188.html|title=Treinta años de la Unidad Revolucionaria Nacional Guatemalteca (URNG)|work=albedrío.org|date=28 January 2012|language=Spanish}}|</ref>|
 | [[Left-wing nationalism]]|ref| name=""urng1"" |
 | [[Indigenismo]]|ref| name=""urng2"" |
 | [[Christian socialism]]|ref| name=""urng3""|{{cite web|url=https://elobservadorgt.org/wp-content/uploads/2020/06/Enfoque-Electoral-No.-22-Salieron-a-flote-el-16-de-junio-los-intereses-econ%C3%B3micos-y-pol%C3%ADticos-olig%C3%A1rquicos.pdf|title=Enfoque Electoral No. 22-Salieron a flote el 16 de junio los intereses económicos y políticos oligárquicos|work=El Observador|date=June 2019|language=Spanish|quote=Osmundo Ponce es un viejo militante del Ejército Guerrillero de los Pobres (EGP) que se convirtió en pastor posteriormente a la firma de la paz, de una denominación evangélica no relacionada con las iglesias neopentencostales.}}|</ref>|
 | '''Historical:'''
 | [[Communism]]
 | [[Marxism–Leninism]]}}","{{ubl|class|=|nowrap
 | [[Democratic socialism]]|ref| name=""urng1""|{{cite web|url=http://www.albedrio.org/htm/otrosdocs/comunicados/urng-maiz-188.html|title=Treinta años de la Unidad Revolucionaria Nacional Guatemalteca (URNG)|work=albedrío.org|date=28 January 2012|language=Spanish}}|</ref>|
 | [[Left-wing nationalism]]|ref| name=""urng1"" |
 | [[Indigenismo]]|ref| name=""urng2"" |
 | [[Christian socialism]]|ref| name=""urng3""|{{cite web|url=https://elobservadorgt.org/wp-content/uploads/2020/06/Enfoque-Electoral-No.-22-Salieron-a-flote-el-16-de-junio-los-intereses-econ%C3%B3micos-y-pol%C3%ADticos-olig%C3%A1rquicos.pdf|title=Enfoque Electoral No. 22-Salieron a flote el 16 de junio los intereses económicos y políticos oligárquicos|work=El Observador|date=June 2019|language=Spanish|quote=Osmundo Ponce es un viejo militante del Ejército Guerrillero de los Pobres (EGP) que se convirtió en pastor posteriormente a la firma de la paz, de una denominación evangélica no relacionada con las iglesias neopentencostales.}}|</ref>|
 | 
 | [[Communism]]
 | [[Marxism–Leninism]]}}"
5971,position,[[Left-wing politics|Left-wing]],[[Left-wing politics|Left-wing]]
706,ideology,[[National liberalism]],[[National liberalism]]
706,position,[[Centre-right]],[[Centre-right]]
8060,ideology,[[Conservatism]]<br />[[Right-wing populism]] <br />[[Anti-communism]]<br />[[Anti-socialism]] <br />[[Christian right]]<br />[[Nationalism]],[[Conservatism]]<br />[[Right-wing populism]] <br />[[Anti-communism]]<br />[[Anti-socialism]] <br />[[Christian right]]<br />[[Nationalism]]
8060,position,[[Right-wing politics|Right-wing]] to [[far-right]],[[Right-wing politics|Right-wing]] to [[far-right]]
7910,ideology,[[Conservatism]]<br />[[Social conservatism]]<br />[[Economic liberalism]]<br />[[Christian right]],[[Conservatism]]<br />[[Social conservatism]]<br />[[Economic liberalism]]<br />[[Christian right]]
7910,position,[[Centre-right politics|Centre-right]],[[Centre-right politics|Centre-right]]
6446,ideology,[[Socialism]]<br />[[Democratic socialism]]<br />[[Social democracy]],[[Socialism]]<br />[[Democratic socialism]]<br />[[Social democracy]]
6446,position,[[Left-wing politics|Left-wing]],[[Left-wing politics|Left-wing]]
4275,ideology,[[Liberalism]],[[Liberalism]]
4275,position,[[Centrism|Centre]],[[Centrism|Centre]]
5780,ideology,[[African nationalism]]<br>[[Economic liberalism]]<br>[[Authoritarianism]]<br>[[Anti-socialism]],[[African nationalism]]<br>[[Economic liberalism]]<br>[[Authoritarianism]]<br>[[Anti-socialism]]
5780,position,[[Big tent]],[[Big tent]]
4737,ideology,[[African nationalism]]<br>[[African socialism]]<br>[[Pan-Africanism]] {{Citation needed|date|=|January 2013}} <br>'''Historical:<br>'''[[Marxism]],[[African nationalism]]<br>[[African socialism]]<br>[[Pan-Africanism]] {{Citation needed|date|=|January 2013}} <br>[[Marxism]]
4063,ideology,[[Social democracy]]<br>[[Democratic socialism]]<br>[[Progressivism]]<br>[[Authoritarianism]],[[Social democracy]]<br>[[Democratic socialism]]<br>[[Progressivism]]<br>[[Authoritarianism]]
4063,position,[[Centre-left]],[[Centre-left]]
7334,ideology,[[Democratic socialism]]<br>'''Factions:'''<br>[[Neosocialism]]<br>[[Social democracy]]<br>[[Marxism]]<br>[[Communism]],[[Democratic socialism]]<br><br>[[Neosocialism]]<br>[[Social democracy]]<br>[[Marxism]]<br>[[Communism]]
7334,position,[[Centre-left]] to [[far-left]],[[Centre-left]] to [[far-left]]
4274,ideology,[[Liberalism]]<br/>[[Social liberalism]],[[Liberalism]]<br/>[[Social liberalism]]
4274,position,[[Centrism|Centre]],[[Centrism|Centre]]
7901,ideology,[[Democratic socialism]] {{cn|date|=|January 2021}} <br>[[Social democracy]],[[Democratic socialism]] {{cn|date|=|January 2021}} <br>[[Social democracy]]
7901,position,[[Centre-left]] to [[Left-wing politics|left-wing]] {{cn|date|=|January 2021}},[[Centre-left]] to [[Left-wing politics|left-wing]] {{cn|date|=|January 2021}}
4237,ideology,[[Democratic socialism]]<br>[[Social democracy]]<br>[[Left-wing nationalism]]<br>[[African nationalism]]<br>[[Pan-Africanism]]<br>'''Historical:'''<br>[[Communism]]<br>[[Marxism–Leninism]] <br>[[Agrarianism]],[[Democratic socialism]]<br>[[Social democracy]]<br>[[Left-wing nationalism]]<br>[[African nationalism]]<br>[[Pan-Africanism]]<br><br>[[Communism]]<br>[[Marxism–Leninism]] <br>[[Agrarianism]]
4237,position,[[Centre-left]] to [[Left-wing politics|left-wing]],[[Centre-left]] to [[Left-wing politics|left-wing]]
4236,ideology,[[Social liberalism]] <br>[[Reformism]] <br>[[Agrarianism]],[[Social liberalism]] <br>[[Reformism]] <br>[[Agrarianism]]
4236,position,[[Centre-left]] {{cn|date|=|December 2019}},[[Centre-left]] {{cn|date|=|December 2019}}
4238,ideology,[[Social democracy]],[[Social democracy]]
4238,position,[[Centre-left]],[[Centre-left]]
3882,ideology,[[Progressivism]]<br />[[Multiracialism]]<br />[[Social liberalism]],[[Progressivism]]<br />[[Multiracialism]]<br />[[Social liberalism]]
3882,position,[[Centrism|Centre]] to [[centre-left]],[[Centrism|Centre]] to [[centre-left]]
7119,ideology,[[Big tent]]<br>'''Factions:'''<br>[[Indigenism]]<br>[[Socialism]]<br>[[Democratic socialism]]<br>[[Social democracy]],[[Big tent]]<br><br>[[Indigenism]]<br>[[Socialism]]<br>[[Democratic socialism]]<br>[[Social democracy]]
7119,position,[[Centre-left politics|Centre-left]] to [[Left-wing politics|left-wing]],[[Centre-left politics|Centre-left]] to [[Left-wing politics|left-wing]]
8711,ideology,[[Indigenism]]<br>[[Socialism]],[[Indigenism]]<br>[[Socialism]]
4247,ideology,[[Social democracy]]<br />[[Democratic socialism]]<br/>'''Historical''':<br />[[Left-wing nationalism]]<br/>[[Left-wing populism]],[[Social democracy]]<br />[[Democratic socialism]]<br/>:<br />[[Left-wing nationalism]]<br/>[[Left-wing populism]]
4247,position,[[Centre-left]] to [[Left-wing politics|left-wing]],[[Centre-left]] to [[Left-wing politics|left-wing]]
